Date,^XAU,GOLD,KGC,NEM,^DJI,^GSPC
3/25/2014,0.0063884,-0.000539678,-0.015350915,0.001255784,0.005602457,0.00440394
3/26/2014,-0.039145124,-0.034557305,-0.053452068,-0.035535133,-0.00604169,-0.00700032
3/27/2014,0.011010791,0.011185726,-0.044705896,-0.005634988,-0.000292567,-0.001900084
3/28/2014,0.016771955,0.012168104,0.036945837,0.042720119,0.003617085,0.004640222
3/31/2014,-0.023136286,-0.025683024,-0.016627119,-0.02006687,0.008246039,0.007924102
4/1/2014,0.003728114,0.003365085,0.004830913,0.000426631,0.004554063,0.007039349
4/2/2014,0.021739107,0.040805001,0.026442341,0.033688656,0.002443088,0.002853327
4/3/2014,-0.008981037,-0.014500561,-0.014051509,-0.005775552,-2.71E-05,-0.00112645
4/4/2014,0.006581083,0.007084423,0.021377708,0.000414947,-0.009644855,-0.012537288
4/7/2014,-0.003858527,-0.007034587,-0.009302316,0.013687263,-0.010165342,-0.010750112
4/8/2014,0.024316704,0.02397823,-0.007042302,0.020867439,0.000632132,0.003750554
4/9/2014,0.006092456,0.007450739,0.016548504,0.001603167,0.011136718,0.010918213
4/10/2014,-0.016600505,-0.007395636,-0.018604743,-0.008003156,-0.016241227,-0.020884796
4/11/2014,-0.017411608,-0.009047369,-0.009478664,-0.022589808,-0.008872466,-0.009486774
4/14/2014,0.013830348,0.011278146,-0.009569369,0.00742882,0.009140358,0.008217286
4/15/2014,-0.020888831,-0.015400903,-0.009661827,-0.023351073,0.005522662,0.006757308
4/16/2014,-0.011320354,-0.0118663,0.004878044,-0.003775174,0.009979366,0.010488491
4/17/2014,-0.007156243,-0.018558961,-0.012135853,-0.008842067,-0.000993041,0.001363853
4/21/2014,-0.003104888,-0.038932084,0.007370941,0.06414606,0.002481082,0.003775124
4/22/2014,0.012792008,0.015624915,0,-0.000399135,0.003958791,0.004092139
4/23/2014,0.020098782,0.014814829,0.014634133,0.035143735,-0.000770163,-0.002213314
4/24/2014,-0.013565833,-0.019090408,-0.01682685,-0.016589518,0,0.001716961
4/25/2014,0.018445697,0.024041219,0.02200481,0.037661867,-0.00849554,-0.008096391
4/28/2014,-0.020790857,-0.031302375,-0.033492792,-0.06729681,0.005334504,0.003236036
4/29/2014,0.016526151,0.019619166,0.019801962,0.014187287,0.005266598,0.004760757
4/30/2014,-0.006675228,-0.011318662,-0.014563093,-0.007593946,0.002749906,0.002992017
5/1/2014,-0.013765491,-0.020606681,0,-0.012082128,-0.001325066,-0.000143261
5/2/2014,0.022090364,0.016949094,0.014778311,0.007745561,-0.00277667,-0.001348445
5/5/2014,-0.00290319,0.004022971,0.00242724,0.005258943,0.001069477,0.001871216
5/6/2014,-0.007872353,-0.001144737,-0.012106583,-0.010060362,-0.00783587,-0.008988392
5/7/2014,-0.021413057,-0.009742124,-0.022058803,-0.023983746,0.00716538,0.005616468
